"stock","sex","genotype.x","video.name","test.temp","run","id.ind","acclim.temp","date.exp","age","test.oxygen","acclim.oxygen","acclim.time","surv.time","video.time","genotype.y","ws","fw","cell.area","cell.number","iod","wing.area.z","fresh.mass.z","cell.area.z","cell.number.z","iod.z"
"25182","male","DGRP-324","20190716-38-RUN 4",38,"4","2",25,"20190716","8",10,10,8,1.39794000867204,1.73772259332804,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20181120-36-RUN 1",36,"1","4",25,"20181120","5",21,21,5,1.86932952279003,2.40807028588719,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190716-39-RUN 8",39,"8","21",25,"20190716","8",10,10,8,1.23929947912689,1.59860814502124,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190716-39-RUN 8",39,"8","25",25,"20190716","8",10,10,8,1.14144977340047,1.59860814502124,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-38-RUN 2",38,"2","5",25,"20180830","8",21,21,8,1.57802798721821,1.69034377412343,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190716-38-RUN 4",38,"4","3",25,"20190716","8",10,10,8,1.55428720953196,1.73772259332804,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-38-RUN 2",38,"2","2",25,"20180830","8",21,21,8,1.46014581749175,1.69034377412343,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20181213-39-RUN 2",39,"2","29",25,"20181213","7",21,21,7,1.2135177569963,1.62169546232928,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190715-37-RUN 3",37,"3","6",25,"20190715","8",10,10,8,1.81079239235637,2.00007237638245,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20181213-39-RUN 2",39,"2","23",25,"20181213","7",21,21,7,1.21792240410163,1.62169546232928,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
