"stock","genotype","sex","video.name","test.temp","run","id.ind","acclim.temp","date.exp","age","test.oxygen","acclim.oxygen","acclim.time","surv.time","video.time","ws","fw","cell.area","cell.number","iod","wing.area.z","fresh.mass.z","cell.area.z","cell.number.z","iod.z"
"28180","DGRP-361","male","20180710-39-RUN 3",39,"3","10",25,"20180710",6,21,21,6,1.10037054511756,1.48096459380142,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180711-36-RUN 3",36,"3","1",25,"20180711",7,21,21,7,1.98485788563363,2.08469540959929,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-38-RUN 1",38,"1","34",25,"20180712",8,21,21,8,1.46114822874325,1.59013563451849,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180711-36-RUN 3",36,"3","9",25,"20180711",7,21,21,7,2.04934725774981,2.08469540959929,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-37-RUN 1",37,"1","34",25,"20180712",8,21,21,8,1.62582671328571,1.92393447105218,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-37-RUN 1",37,"1","40",25,"20180712",8,21,21,8,1.52720011906298,1.92393447105218,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180710-39-RUN 3",39,"3","1",25,"20180710",6,21,21,6,0.880813592280791,1.48096459380142,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20190717-38-RUN 6",38,"6","32",25,"20190717",6,21,21,6,1.40140054078154,1.7471527595746,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-38-RUN 1",38,"1","35",25,"20180712",8,21,21,8,1.32393927512819,1.59013563451849,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20190718-36-RUN 1",36,"1","2",25,"20190718",7,21,21,7,1.87030634389888,2.29761462783209,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-38-RUN 1",38,"1","39",25,"20180712",8,21,21,8,1.47591320253069,1.59013563451849,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20190718-36-RUN 1",36,"1","10",25,"20190718",7,21,21,7,1.89954693109087,2.29761462783209,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180711-36-RUN 3",36,"3","4",25,"20180711",7,21,21,7,1.97499810652655,2.08469540959929,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-38-RUN 1",38,"1","32",25,"20180712",8,21,21,8,1.38021124171161,1.59013563451849,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
"28180","DGRP-361","male","20180712-37-RUN 1",37,"1","32",25,"20180712",8,21,21,8,1.66354388525707,1.92393447105218,777280.603,0.66,159.326579387755,4929.21754897785,450.324979745759,-0.79575691692324,-0.834392308257471,1.16295273476925,-1.82337535143753,0.440290721490007
