"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"28248","DGRP-849","female",5,"28248","B1",1084972.699,1.54,51,7841.756,477.687333333333,153.759921568627,7056.27765630555
"25180","DGRP-313","female",5,"25180","B10",874191.674333333,1.07,52,7871.961,425.040666666667,151.383865384615,5774.66873442759
"25190","DGRP-380","male",5,"25190","B10",771830.233666667,0.41,63,7841.095,407.079,124.461825396825,6201.34110363412
"28191","DGRP-385","female",5,"28191","B10",1137677.98233333,1.17,51,7856.091,470.164,154.041,7385.55308218807
"28197","DGRP-440","female",5,"28197","B10",1136139.89566667,1.3,48,7853.883,473.111,163.6225625,6943.66277063206
"28247","DGRP-843","female",5,"28247","B10",1053257.602,1.47,49,7896.018,512.714333333333,161.143224489796,6536.15816200014
"25180","DGRP-313","female",5,"25180","B11",873463.8,1.13,51,7845.061,424.211,153.824725490196,5678.30559889847
"28191","DGRP-385","female",5,"28191","B11",1137080.81466667,1.27,50,7856.091,477.355333333333,157.12182,7236.93764918626
"28197","DGRP-440","female",5,"28197","B11",1133615.519,1.48,48,7907.118,474.732333333333,164.731625,6881.59009540518
"28247","DGRP-843","female",5,"28247","B11",1089853.23466667,1.65,49,7896.018,505.691,161.143224489796,6763.25820162348
"25180","DGRP-313","female",5,"25180","B12",859507.675666667,1.09,51,7898.236,437.277,154.86737254902,5549.95969467106
"28247","DGRP-843","female",5,"28247","B12",1057580.11533333,1.15,46,7896.018,538.709666666667,171.652565217391,6161.16697116614
"25180","DGRP-313","female",5,"25180","B2",878655.451666667,1.04,52,7818.899,439.789,150.363442307692,5843.54440269233
"28191","DGRP-385","female",5,"28191","B2",1169715.396,1.13,51,7856.091,486.123666666667,154.041,7593.53286462695
"28247","DGRP-843","female",5,"28247","B2",1049250.636,1.56,47,7869.75,515.297666666667,167.441489361702,6266.37185323549
"28248","DGRP-849","female",5,"28248","B2",1051115.03233333,1.29,50,7868.645,473.394666666667,157.3729,6679.1361939275
