"stock","genotype","sex","age","plate","well","ws","fw","iod","cell.area","cell.number","fresh.mass.z","iod.z","wing.area.z","cell.number.z","cell.area.z"
"25198","DGRP-555","female",5,"25198","C2",1012146.19566667,1.06,486.154,145.442277777778,6959.09202696297,-0.566362699917489,0.410921526885679,-0.537066746198874,1.09178719911494,-1.48053574532722
"25201","DGRP-712","female",5,"25201","C2",1136233.25866667,1.11,464.808666666667,182.648441860465,6220.87572767084,-0.323233660187884,-0.387878123249228,0.790511333472219,-0.328504810149661,1.11233860384092
"28135","DGRP-88","female",5,"28135","C2",982180.134666667,1.04,438.860333333333,163.6685625,6001.03110618245,-0.663614315809331,-1.35893438480139,-0.857666531187668,-0.751475096066093,-0.210357340698965
"25190","DGRP-380","female",5,"25190","C3",1032187.64933333,0.9,463.045,164.477270833333,6275.56405881309,-1.34437562705222,-0.453879262434447,-0.322647983038998,-0.223287139128533,-0.153998961780958
"25198","DGRP-555","female",5,"25198","C3",1069750.86933333,0.97,475.951,153.759921568627,6957.28027446914,-1.00399497143078,0.0290978887605662,0.0792320056417153,1.08830147603863,-0.900884341788811
"25201","DGRP-712","female",5,"25201","C3",1134423.42933333,1.07,488.926333333333,191.55812195122,5922.08473218492,-0.517736891971568,0.514669679333853,0.771148398345871,-0.903364053620435,1.7332486475442
"28135","DGRP-88","female",5,"28135","C3",971951.485,1.07,443.124,162.980625,5963.60140967676,-0.517736891971568,-1.19937653726444,-0.967100429885892,-0.823487999204651,-0.258299275632561
"28196","DGRP-426","female",5,"28196","C3",1112587.17533333,1.36,470.621,196.181625,5671.2099073159,0.892411538460138,-0.170365013445341,0.537527491768929,-1.38603493128704,2.05545768881596
"25190","DGRP-380","female",5,"25190","C4",1001750.658,0.82,475.300333333333,157.2544,6370.25519158764,-1.73338209061959,0.00474819613354111,-0.648286140058379,-0.0411060367106274,-0.657356321316402
"25198","DGRP-555","female",5,"25198","C4",1069840.684,1.17,472.106,148.186471698113,7219.55703338081,-0.0314788125123598,-0.114792328684408,0.0801929114752575,1.59290911644871,-1.28929458406785
"25201","DGRP-712","female",5,"25201","C4",1115281.21033333,1.16,482.456,178.497340909091,6248.16708558896,-0.0801046204582807,0.272532443891788,0.566350333775165,-0.27599757397748,0.82305096984283
"28135","DGRP-88","female",5,"28135","C4",1018628.68366667,1.29,465.839666666667,162.980625,6249.99863429574,0.552030882838691,-0.349295336724973,-0.467712143370287,-0.272473763956876,-0.258299275632561
"28196","DGRP-426","female",5,"28196","C4",1136090.88866667,1.48,479.602666666667,202.23,5617.81579719461,1.47592123381119,0.165753054093017,0.788988150582455,-1.48876258444206,2.47696516689934
"25201","DGRP-712","female",5,"25201","C5",1189594.22833333,1.17,522.404,186.997214285714,6361.56122901245,-0.0314788125123598,1.76749379798588,1.36140770193129,-0.0578327949605177,1.41540183945796
"28135","DGRP-88","female",5,"28135","C5",1034044.75733333,0.94,444.435333333333,170.784586956522,6054.67258937471,-1.14987239526854,-1.15030292517702,-0.302779224662616,-0.648271509236429,0.285553961534815
"28196","DGRP-426","female",5,"28196","C5",1114453.34466667,1.45,486.976,190.068738095238,5863.42265348363,1.33004380997343,0.44168297259173,0.557493195203273,-1.01622702035009,1.62945441636093
"25190","DGRP-380","female",5,"25190","C6",983935.043666667,0.63,445.309333333333,157.7936,6235.58270846642,-2.65727244159209,-1.11759549993725,-0.838891175692168,-0.300209299302232,-0.619779809909197
"25198","DGRP-555","female",5,"25198","C6",946510.303,0.87,454.378666666667,145.442277777778,6507.80720339226,-1.49025305088999,-0.778196710492679,-1.23928960680374,0.223537298056845,-1.48053574532722
"28135","DGRP-88","female",5,"28135","C6",1031757.88633333,1.18,464.996666666667,170.649891304348,6046.05065052887,0.0171469954335612,-0.380842658781177,-0.327245915526559,-0.664859697358062,0.276167105617868
"25198","DGRP-555","female",5,"25198","C7",1128931.48933333,1.03,491.675666666667,153.997705882353,7330.83316316273,-0.712240123755252,0.617557110065229,0.712391433819531,1.80699894093876,-0.884313301400867
"25201","DGRP-712","female",5,"25201","C7",1110401.78566667,1.06,454.170333333333,183.068860465116,6065.48695854396,-0.566362699917489,-0.785993102855349,0.514146525640352,-0.627465192536226,1.14163731395492
"28135","DGRP-88","female",5,"28135","C7",920916.537666667,0.94,457.887333333333,167.150872340426,5509.49285978654,-1.14987239526854,-0.646892988877985,-1.51311123664422,-1.69717061142314,0.0323226582665247
"28196","DGRP-426","female",5,"28196","C7",1120663.445,1.36,493.049333333333,190.08230952381,5895.67460437252,0.892411538460138,0.668963402747539,0.623933586939251,-0.954175846223195,1.63040020074622
