stock,genotype,sex,age,plate,well,ws,fw,trichomes,area,cell.area,cell.number
25190,DGRP-380,male,5,25190,B10,771830.2337,0.41,63,7841.095,124.4618254,6201.341104
28191,DGRP-385,female,5,28191,B10,1137677.982,1.17,51,7856.091,154.041,7385.553082
28197,DGRP-440,female,5,28197,B10,1136139.896,1.3,48,7853.883,163.6225625,6943.662771
28247,DGRP-843,female,5,28247,B10,1053257.602,1.47,49,7896.018,161.1432245,6536.158162
28258,DGRP-892,female,5,28258,B10,1083287.567,1.31,46,7830.756,170.2338261,6363.527108
25180,DGRP-313,female,5,25180,B11,873463.8,1.13,51,7845.061,153.8247255,5678.305599
28191,DGRP-385,female,5,28191,B11,1137080.815,1.27,50,7856.091,157.12182,7236.937649
28197,DGRP-440,female,5,28197,B11,1133615.519,1.48,48,7907.118,164.731625,6881.590095
28247,DGRP-843,female,5,28247,B11,1089853.235,1.65,49,7896.018,161.1432245,6763.258202
28258,DGRP-892,female,5,28258,B11,1048950.144,1.29,46,7857.607,170.8175435,6140.763544
25180,DGRP-313,female,5,25180,B12,859507.6757,1.09,51,7898.236,154.8673725,5549.959695
28247,DGRP-843,female,5,28247,B12,1057580.115,1.15,46,7896.018,171.6525652,6161.166971
28258,DGRP-892,female,5,28258,B12,1072340.974,1.47,47,7830.756,166.6118298,6436.163479
25180,DGRP-313,female,5,25180,B2,878655.4517,1.04,52,7818.899,150.3634423,5843.544403
28173,DGRP-338,male,5,28173,B2,819964.8667,0.82,50,7863.011,157.26022,5214.064095
28180,DGRP-361,male,5,28180,B2,859121.6613,0.81,48,7885.861,164.2887708,5229.338907
28191,DGRP-385,female,5,28191,B2,1169715.396,1.13,51,7856.091,154.041,7593.532865
28247,DGRP-843,female,5,28247,B2,1049250.636,1.56,47,7869.75,167.4414894,6266.371853
28248,DGRP-849,female,5,28248,B2,1051115.032,1.29,50,7868.645,157.3729,6679.136194
28258,DGRP-892,female,5,28258,B2,1074264.366,1.37,46,7857.607,170.8175435,6288.958055
25180,DGRP-313,female,5,25180,B3,862601.442,1.13,53,7845.061,148.0200189,5827.599865
28191,DGRP-385,female,5,28191,B3,1150593.454,1.09,52,7883.028,151.5966923,7589.832182
28197,DGRP-440,female,5,28197,B3,1160419.557,1.26,47,7853.883,167.1038936,6944.299932
28247,DGRP-843,female,5,28247,B3,1070306.177,1.4,47,7869.75,167.4414894,6392.120504
28248,DGRP-849,female,5,28248,B3,1126389.897,1.17,52,7854.159,151.0415192,7457.48522
28258,DGRP-892,female,5,28258,B3,1060982.483,1.32,46,7857.607,170.8175435,6211.203262
25180,DGRP-313,female,5,25180,B4,867812.2803,1.14,53,7818.899,147.5263962,5882.420384
25190,DGRP-380,male,5,25190,B4,787727.6677,0.53,59,7814.3,132.4457627,5947.549031
28180,DGRP-361,male,5,28180,B4,830345.1797,0.74,47,7885.861,167.7842766,4948.885536
28191,DGRP-385,female,5,28191,B4,1254553.328,1.29,50,7856.091,157.12182,7984.590097
28197,DGRP-440,female,5,28197,B4,1068729.646,1.48,49,7853.883,160.2833265,6667.753092
28247,DGRP-843,female,5,28247,B4,1045874.162,1.35,48,7869.75,163.953125,6379.10477
28248,DGRP-849,female,5,28248,B4,1123569.373,1.28,49,7841.756,160.0358367,7020.73608
25190,DGRP-380,male,5,25190,B5,781552.9633,0.33,58,7814.3,134.7293103,5800.91267
28180,DGRP-361,male,5,28180,B5,790122.9677,0.67,49,7885.861,160.9359388,4909.549562
28191,DGRP-385,female,5,28191,B5,1193912.364,1.08,50,7883.028,157.66056,7572.676162
28197,DGRP-440,female,5,28197,B5,1031430.054,1.37,47,7853.883,167.1038936,6172.38792
28247,DGRP-843,female,5,28247,B5,1035297.915,1.47,50,7842.857,156.85714,6600.260052
28248,DGRP-849,female,5,28248,B5,1076144.561,1.26,49,7880.439,160.8252857,6691.389084
28258,DGRP-892,female,5,28258,B5,1076727.921,1.28,45,7857.607,174.6134889,6166.350195
